"Date","Price","Open","High","Low","Vol.","Change %"
"09/17/2025","659.00","660.04","660.65","658.87","20.96M","-0.15%"
"09/16/2025","660.00","661.47","661.78","659.21","61.17M","-0.14%"
"09/15/2025","660.91","659.64","661.04","659.34","63.77M","0.53%"
"09/12/2025","657.41","657.60","659.11","656.90","72.78M","-0.03%"
"09/11/2025","657.63","654.18","658.33","653.59","69.93M","0.83%"
"09/10/2025","652.21","653.62","654.55","650.63","78.03M","0.29%"
"09/09/2025","650.33","648.97","650.86","647.22","66.13M","0.23%"
"09/08/2025","648.83","648.62","649.84","647.23","63.13M","0.25%"
"09/05/2025","647.24","651.48","652.21","643.33","85.18M","-0.29%"
"09/04/2025","649.12","644.42","649.15","643.51","65.22M","0.84%"
"09/03/2025","643.74","642.67","644.21","640.46","70.82M","0.54%"
"09/02/2025","640.27","637.50","640.49","634.92","81.98M","-0.74%"
"08/29/2025","645.05","647.47","647.84","643.14","74.52M","-0.60%"
"08/28/2025","648.92","647.24","649.48","645.34","61.52M","0.35%"
"08/27/2025","646.63","644.57","647.37","644.42","48.34M","0.23%"
"08/26/2025","645.16","642.20","645.51","641.57","51.58M","0.42%"
"08/25/2025","642.47","644.04","645.29","642.35","51.27M","-0.44%"
"08/22/2025","645.31","637.76","646.50","637.25","84.08M","1.54%"
"08/21/2025","635.55","636.28","637.97","633.81","54.81M","-0.40%"
"08/20/2025","638.11","639.40","639.66","632.95","88.89M","-0.27%"
"08/19/2025","639.81","643.12","644.10","638.48","69.75M","-0.54%"
"08/18/2025","643.30","642.86","644.00","642.18","43.80M","-0.02%"